Date	Time	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	1:54:31	0.00	270.00	0.00000	0.00645	
1/1/0	1:55:31	0.00	270.00	0.00000	0.00645	
1/1/0	1:56:31	0.00	270.00	0.00000	0.00645	
1/1/0	1:57:31	0.00	315.00	0.00000	0.00000	
1/1/0	1:58:32	0.00	315.00	0.00000	0.00645	
1/1/0	1:59:32	0.00	270.00	0.00000	0.00645	
1/1/0	2:0:32	0.00	270.00	0.00000	0.00645	
1/1/0	2:1:32	0.00	270.00	0.00000	0.00645	
1/1/0	2:2:32	0.00	270.00	0.00000	0.00645	
1/1/0	2:3:32	0.00	315.00	0.00000	0.00645	
1/1/0	2:4:32	0.00	315.00	0.00000	0.00645	
1/1/0	2:5:33	0.00	270.00	0.00000	0.00645	
1/1/0	2:6:33	0.00	270.00	0.00000	0.00645	
1/1/0	2:7:33	0.00	270.00	0.00000	0.00645	
1/1/0	2:8:33	0.00	270.00	0.00000	0.00645	
1/1/0	2:9:33	0.00	315.00	0.00000	0.00645	
1/1/0	2:10:33	0.00	315.00	0.00000	0.00000	
1/1/0	2:11:33	0.00	270.00	0.00000	0.01290	
1/1/0	2:12:33	0.00	270.00	0.00000	0.00645	
1/1/0	2:13:34	0.00	315.00	0.00000	0.01290	
1/1/0	2:14:34	0.00	315.00	0.00000	0.01290	
1/1/0	2:15:34	0.00	270.00	0.00000	0.00645	
1/1/0	2:16:34	0.00	270.00	0.00000	0.00645	
1/1/0	2:17:34	0.00	315.00	0.00000	0.00645	
1/1/0	2:18:34	0.00	270.00	0.00000	0.00645	
1/1/0	2:19:34	0.00	315.00	0.00000	0.00645	
1/1/0	2:20:35	0.00	270.00	0.00000	0.00645	
1/1/0	2:21:35	0.00	315.00	0.00000	0.00645	
1/1/0	2:22:35	0.00	270.00	0.00000	0.00645	
1/1/0	2:23:35	0.00	315.00	0.00000	0.00645	
1/1/0	2:24:35	0.00	315.00	0.00000	0.00645	
1/1/0	2:25:35	0.00	270.00	0.00000	0.00645	
1/1/0	2:26:35	0.00	270.00	0.00000	0.00645	
1/1/0	2:27:36	0.00	315.00	0.00000	0.00645	
1/1/0	2:28:36	0.00	270.00	0.00000	0.00000	
1/1/0	2:29:36	0.00	270.00	0.00000	0.00645	
1/1/0	2:30:36	0.00	270.00	0.00000	0.00645	
1/1/0	2:31:36	0.00	315.00	0.00000	0.00645	
1/1/0	2:32:36	0.00	315.00	0.00000	0.00645	
1/1/0	2:33:36	0.00	270.00	0.00000	0.00645	
1/1/0	2:34:36	0.00	270.00	0.00000	0.01290	
1/1/0	2:35:37	0.00	315.00	0.00000	0.00645	
1/1/0	2:36:37	0.00	315.00	0.00000	0.00645	
1/1/0	2:37:37	0.00	315.00	0.00000	0.00645	
1/1/0	2:38:37	0.00	270.00	0.00000	0.00645	
1/1/0	2:39:37	0.00	270.00	0.00000	0.00645	
1/1/0	2:40:37	0.00	315.00	0.00000	0.00645	
1/1/0	2:41:37	0.00	315.00	0.00000	0.00645	
1/1/0	2:42:38	0.00	315.00	0.00000	0.00645	
1/1/0	2:43:38	0.00	292.50	0.00000	0.00645	
1/1/0	2:44:38	0.00	270.00	0.00000	0.00645	
1/1/0	2:45:38	0.00	270.00	0.00000	0.00645	
1/1/0	2:46:38	0.00	315.00	0.00000	0.00645	
1/1/0	2:47:38	0.00	270.00	0.00000	0.00000	
1/1/0	2:48:38	0.00	315.00	0.00000	0.01290	
1/1/0	2:49:38	0.00	270.00	0.00000	0.00645	
1/1/0	2:50:39	0.00	270.00	0.00000	0.00645	
1/1/0	2:51:39	0.00	270.00	0.00000	0.00645	
1/1/0	2:52:39	0.00	292.50	0.00000	0.00645	
1/1/0	2:53:39	0.00	270.00	0.00000	0.00645	
1/1/0	2:54:39	0.00	315.00	0.00000	0.00645	
1/1/0	2:55:39	0.00	315.00	0.00000	0.00000	
1/1/0	2:56:39	0.00	315.00	0.00000	0.00645	
1/1/0	2:57:40	0.00	270.00	0.00000	0.00645	
1/1/0	2:58:40	0.00	315.00	0.00000	0.00645	
1/1/0	2:59:40	0.00	315.00	0.00000	0.01290	
1/1/0	3:0:40	0.00	315.00	0.00000	0.00645	
1/1/0	3:1:40	0.00	270.00	0.00000	0.00645	
1/1/0	3:2:40	0.00	270.00	0.00000	0.00645	
1/1/0	3:3:40	0.00	270.00	0.00000	0.00645	
1/1/0	3:4:40	0.00	270.00	0.00000	0.00645	
1/1/0	3:5:41	0.00	315.00	0.00000	0.00645	
1/1/0	3:6:41	0.00	270.00	0.00000	0.00645	
1/1/0	3:7:41	0.00	315.00	0.00000	0.00645	
1/1/0	3:8:41	0.00	270.00	0.00000	0.00645	
1/1/0	3:9:41	0.00	270.00	0.00000	0.01290	
1/1/0	3:10:41	0.00	270.00	0.00000	0.00645	
1/1/0	3:11:41	0.00	315.00	0.00000	0.00645	
1/1/0	3:12:42	0.00	270.00	0.00000	0.00645	
1/1/0	3:13:42	0.00	315.00	0.00000	0.00645	
1/1/0	3:14:42	0.00	315.00	0.00000	0.00645	
1/1/0	3:15:42	0.00	270.00	0.00000	0.00645	
1/1/0	3:16:42	0.00	270.00	0.00000	0.00645	
1/1/0	3:17:42	0.00	315.00	0.00000	0.00645	
1/1/0	3:18:42	0.00	315.00	0.00000	0.00000	
1/1/0	3:19:43	0.00	315.00	0.00000	0.01290	
1/1/0	3:20:43	0.00	315.00	0.00000	0.00645	
1/1/0	3:21:43	0.00	270.00	0.00000	0.00645	
1/1/0	3:22:43	0.00	315.00	0.00000	0.00645	
1/1/0	3:23:43	0.00	270.00	0.00000	0.00645	
1/1/0	3:24:43	0.00	270.00	0.00000	0.01290	
1/1/0	3:25:43	0.00	315.00	0.00000	0.00645	
1/1/0	3:26:43	0.00	270.00	0.00000	0.00645	
1/1/0	3:27:44	0.00	315.00	0.00000	0.00645	
1/1/0	3:28:44	0.00	270.00	0.00000	0.01290	
1/1/0	3:29:44	0.00	270.00	0.00000	0.00645	
1/1/0	3:30:44	0.00	270.00	0.00000	0.01290	
1/1/0	3:31:44	0.00	315.00	0.00000	0.00645	
1/1/0	3:32:44	0.00	270.00	0.00000	0.00645	
1/1/0	3:33:44	0.00	315.00	0.00000	0.01290	
1/1/0	3:34:45	0.00	315.00	0.00000	0.01290	
1/1/0	3:35:45	0.00	270.00	0.00000	0.00645	
1/1/0	3:36:45	0.00	292.50	0.00000	0.00645	
1/1/0	3:37:45	0.00	315.00	0.00000	0.00645	
1/1/0	3:38:45	0.00	315.00	0.00000	0.00645	
1/1/0	3:39:45	0.00	315.00	0.00000	0.00645	
1/1/0	3:40:45	0.00	315.00	0.00000	0.00645	
1/1/0	3:41:45	0.00	315.00	0.00000	0.00645	
1/1/0	3:42:46	0.00	315.00	0.00000	0.00645	
1/1/0	3:43:46	0.00	270.00	0.00000	0.00645	
1/1/0	3:44:46	0.00	315.00	0.00000	0.00645	
1/1/0	3:45:46	0.00	270.00	0.00000	0.00645	
1/1/0	3:46:46	0.00	270.00	0.00000	0.00645	
1/1/0	3:47:46	0.00	315.00	0.00000	0.00645	
1/1/0	3:48:46	0.00	315.00	0.00000	0.00645	
1/1/0	3:49:47	0.00	270.00	0.00000	0.00645	
1/1/0	3:50:47	0.00	270.00	0.00000	0.01290	
1/1/0	3:51:47	0.00	315.00	0.00000	0.00645	
