Date	Time	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	1:6:46	3.30	180.00	0.00028	0.74839	
1/1/0	1:7:47	1.32	225.00	0.00031	0.78710	
1/1/0	1:8:47	1.98	180.00	0.00737	3.83871	
1/1/0	1:9:47	3.30	90.00	0.00954	4.36774	
1/1/0	1:10:48	1.98	180.00	0.00734	3.83226	
1/1/0	1:11:48	3.96	135.00	0.01049	4.58065	
1/1/0	1:12:48	3.30	45.00	0.00620	3.52258	
1/1/0	1:13:48	0.66	180.00	0.00688	3.70968	
1/1/0	1:14:48	1.32	135.00	0.00698	3.73548	
1/1/0	1:15:49	1.98	45.00	0.00979	4.42581	
1/1/0	1:16:49	2.64	180.00	0.00674	3.67097	
1/1/0	1:17:49	3.96	135.00	0.00974	4.41290	
1/1/0	1:18:49	1.98	90.00	0.00681	3.69032	
1/1/0	1:19:49	1.32	180.00	0.00679	3.68387	
1/1/0	1:20:49	2.64	135.00	0.00686	3.70323	
1/1/0	1:21:49	2.64	225.00	0.00667	3.65161	
1/1/0	1:22:49	1.98	90.00	0.00985	4.43871	
1/1/0	1:23:50	1.32	202.50	0.00965	4.39355	
1/1/0	1:24:50	1.98	135.00	0.00948	4.35484	
1/1/0	1:25:50	3.30	180.00	0.00934	4.32258	
1/1/0	1:26:50	1.98	180.00	0.00918	4.28387	
1/1/0	1:27:50	1.98	180.00	0.00901	4.24516	
1/1/0	1:28:50	3.96	90.00	0.00893	4.22581	
1/1/0	1:29:50	1.32	90.00	0.00885	4.20645	
1/1/0	1:30:51	1.98	180.00	0.00871	4.17419	
1/1/0	1:31:51	3.30	180.00	0.00863	4.15484	
1/1/0	1:32:51	3.30	180.00	0.00858	4.14194	
1/1/0	1:33:51	1.32	45.00	0.00855	4.13548	
1/1/0	1:34:51	1.32	135.00	0.00844	4.10968	
1/1/0	1:35:51	3.30	90.00	0.00842	4.10323	
1/1/0	1:36:51	2.64	90.00	0.00839	4.09677	
1/1/0	1:37:51	2.64	90.00	0.00837	4.09032	
1/1/0	1:38:52	0.66	22.50	0.00831	4.07742	
1/1/0	1:39:52	0.66	45.00	0.00826	4.06452	
1/1/0	1:40:52	0.00	0.00	0.00826	4.06452	
1/1/0	1:41:52	0.66	292.50	0.00818	4.04516	
1/1/0	1:42:52	0.66	315.00	0.00818	4.04516	
1/1/0	1:43:52	2.64	112.50	0.00813	4.03226	
1/1/0	1:44:52	1.98	135.00	0.00813	4.03226	
1/1/0	1:45:53	1.32	90.00	0.00810	4.02581	
1/1/0	1:46:53	0.66	45.00	0.00808	4.01935	
1/1/0	1:47:53	0.66	180.00	0.00810	4.02581	
1/1/0	1:48:53	2.64	135.00	0.00797	3.99355	
1/1/0	1:49:53	1.98	90.00	0.00800	4.00000	
1/1/0	1:50:53	1.98	180.00	0.00813	4.03226	
1/1/0	1:51:53	3.30	135.00	0.00800	4.00000	
1/1/0	1:52:53	1.32	90.00	0.00818	4.04516	
1/1/0	1:53:54	2.64	135.00	0.00818	4.04516	
1/1/0	1:54:54	1.98	90.00	0.00797	3.99355	
1/1/0	1:55:54	2.64	135.00	0.00816	4.03871	
1/1/0	1:56:54	1.32	90.00	0.00821	4.05161	
1/1/0	1:57:54	0.66	90.00	0.00785	3.96129	
1/1/0	1:58:54	1.98	45.00	0.00787	3.96774	
1/1/0	1:59:54	1.32	0.00	0.00779	3.94839	
1/1/0	2:0:55	1.32	180.00	0.00782	3.95484	
1/1/0	2:1:55	1.98	225.00	0.00797	3.99355	
1/1/0	2:2:55	0.00	45.00	0.00821	4.05161	
1/1/0	2:3:55	1.98	90.00	0.00823	4.05806	
1/1/0	2:4:55	1.98	90.00	0.00818	4.04516	
1/1/0	2:5:55	2.64	112.50	0.00829	4.07097	
1/1/0	2:6:55	3.30	90.00	0.00823	4.05806	
1/1/0	2:7:55	1.98	135.00	0.00795	3.98710	
1/1/0	2:8:56	2.64	90.00	0.00839	4.09677	
1/1/0	2:9:56	2.64	90.00	0.00808	4.01935	
1/1/0	2:10:56	1.32	90.00	0.00826	4.06452	
1/1/0	2:11:56	1.32	90.00	0.00842	4.10323	
1/1/0	2:12:56	1.32	225.00	0.00842	4.10323	
1/1/0	2:13:56	2.64	180.00	0.00792	3.98065	
1/1/0	2:14:56	3.30	180.00	0.00831	4.07742	
1/1/0	2:15:57	2.64	135.00	0.00839	4.09677	
1/1/0	2:16:57	2.64	180.00	0.00842	4.10323	
1/1/0	2:17:57	3.96	180.00	0.00808	4.01935	
1/1/0	2:18:57	3.30	135.00	0.00803	4.00645	
1/1/0	2:19:57	0.00	45.00	0.00808	4.01935	
1/1/0	2:20:57	0.00	90.00	0.00842	4.10323	
1/1/0	2:21:57	1.32	67.50	0.00810	4.02581	
1/1/0	2:22:57	1.32	90.00	0.00842	4.10323	
1/1/0	2:23:58	1.32	67.50	0.00797	3.99355	
1/1/0	2:24:58	1.98	112.50	0.00813	4.03226	
1/1/0	2:25:58	3.96	135.00	0.00839	4.09677	
1/1/0	2:26:58	0.66	135.00	0.00839	4.09677	
1/1/0	2:27:58	0.66	90.00	0.00839	4.09677	
1/1/0	2:28:58	0.66	90.00	0.00834	4.08387	
1/1/0	2:29:58	1.32	45.00	0.00839	4.09677	
1/1/0	2:30:59	1.32	180.00	0.00829	4.07097	
1/1/0	2:31:59	1.98	135.00	0.00821	4.05161	
1/1/0	2:32:59	3.30	90.00	0.00829	4.07097	
1/1/0	2:33:59	3.96	225.00	0.00816	4.03871	
1/1/0	2:34:59	1.32	225.00	0.00813	4.03226	
1/1/0	2:35:59	1.98	180.00	0.00826	4.06452	
1/1/0	2:36:59	1.98	90.00	0.00834	4.08387	
1/1/0	2:37:59	1.32	0.00	0.00831	4.07742	
1/1/0	2:39:0	3.30	135.00	0.00831	4.07742	
1/1/0	2:40:0	2.64	225.00	0.00831	4.07742	
1/1/0	2:41:0	3.96	180.00	0.00834	4.08387	
1/1/0	2:42:0	1.98	90.00	0.00834	4.08387	
1/1/0	2:43:0	0.66	0.00	0.00816	4.03871	
1/1/0	2:44:0	1.32	90.00	0.00829	4.07097	
1/1/0	2:45:0	1.98	180.00	0.00831	4.07742	
1/1/0	2:46:0	1.98	202.50	0.00829	4.07097	
1/1/0	2:47:1	0.66	90.00	0.00829	4.07097	
1/1/0	2:48:1	0.66	180.00	0.00826	4.06452	
1/1/0	2:49:1	1.98	180.00	0.00829	4.07097	
1/1/0	2:50:1	3.30	90.00	0.00829	4.07097	
1/1/0	2:51:1	1.32	135.00	0.00826	4.06452	
1/1/0	2:52:1	1.32	135.00	0.00826	4.06452	
1/1/0	2:53:1	2.64	180.00	0.00829	4.07097	
1/1/0	2:54:2	2.64	135.00	0.00831	4.07742	
1/1/0	2:55:2	2.64	90.00	0.00831	4.07742	
1/1/0	2:56:2	1.32	112.50	0.00831	4.07742	
1/1/0	2:57:2	1.32	180.00	0.00831	4.07742	
1/1/0	2:58:2	1.98	90.00	0.00831	4.07742	
1/1/0	2:59:2	1.32	135.00	0.00834	4.08387	
1/1/0	3:0:2	2.64	135.00	0.00829	4.07097	
1/1/0	3:1:2	1.98	180.00	0.00834	4.08387	
1/1/0	3:2:3	1.98	135.00	0.00831	4.07742	
1/1/0	3:3:3	1.98	45.00	0.00834	4.08387	
1/1/0	3:4:3	0.66	157.50	0.00831	4.07742	
1/1/0	3:5:3	1.98	180.00	0.00834	4.08387	
1/1/0	3:6:3	2.64	180.00	0.00834	4.08387	
1/1/0	3:7:3	4.62	270.00	0.00834	4.08387	
1/1/0	3:8:3	2.64	180.00	0.00837	4.09032	
1/1/0	3:9:4	1.32	180.00	0.00839	4.09677	
1/1/0	3:10:4	2.64	225.00	0.00839	4.09677	
1/1/0	3:11:4	1.32	180.00	0.00837	4.09032	
1/1/0	3:12:4	1.32	135.00	0.00839	4.09677	
1/1/0	3:13:4	2.64	112.50	0.00842	4.10323	
1/1/0	3:14:4	1.32	135.00	0.00842	4.10323	
1/1/0	3:15:4	0.66	135.00	0.00839	4.09677	
1/1/0	3:16:4	0.00	90.00	0.00839	4.09677	
1/1/0	3:17:5	1.32	180.00	0.00837	4.09032	
1/1/0	3:18:5	1.32	225.00	0.00837	4.09032	
1/1/0	3:19:5	1.32	180.00	0.00834	4.08387	
1/1/0	3:20:5	0.66	202.50	0.00834	4.08387	
1/1/0	3:21:5	0.66	180.00	0.00837	4.09032	
1/1/0	3:22:5	0.00	225.00	0.00831	4.07742	
1/1/0	3:23:5	0.66	45.00	0.00831	4.07742	
1/1/0	3:24:6	1.98	135.00	0.00831	4.07742	
1/1/0	3:25:6	1.32	67.50	0.00831	4.07742	
