Date	Time	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	3:26:6	1.98	90.00	0.00831	4.07742	
1/1/0	3:27:6	1.32	135.00	0.00829	4.07097	
1/1/0	3:28:6	1.32	90.00	0.00829	4.07097	
1/1/0	3:29:6	3.30	90.00	0.00826	4.06452	
1/1/0	3:30:6	3.30	90.00	0.00826	4.06452	
1/1/0	3:31:6	1.98	135.00	0.00826	4.06452	
1/1/0	3:32:7	0.66	135.00	0.00829	4.07097	
1/1/0	3:33:7	1.32	180.00	0.00834	4.08387	
1/1/0	3:34:7	2.64	135.00	0.00831	4.07742	
1/1/0	3:35:7	1.32	157.50	0.00834	4.08387	
1/1/0	3:36:7	2.64	225.00	0.00837	4.09032	
1/1/0	3:37:7	1.98	135.00	0.00837	4.09032	
1/1/0	3:38:7	1.98	135.00	0.00839	4.09677	
1/1/0	3:39:8	1.32	135.00	0.00839	4.09677	
1/1/0	3:40:8	2.64	112.50	0.00834	4.08387	
1/1/0	3:41:8	1.32	90.00	0.00842	4.10323	
1/1/0	3:42:8	1.32	135.00	0.00847	4.11613	
1/1/0	3:43:8	1.32	180.00	0.00860	4.14839	
1/1/0	3:44:8	1.98	180.00	0.00852	4.12903	
1/1/0	3:45:8	1.98	90.00	0.00858	4.14194	
1/1/0	3:46:8	1.98	135.00	0.00855	4.13548	
1/1/0	3:47:9	0.66	135.00	0.00855	4.13548	
1/1/0	3:48:9	1.32	90.00	0.00855	4.13548	
1/1/0	3:49:9	1.32	180.00	0.00858	4.14194	
1/1/0	3:50:9	1.32	135.00	0.00858	4.14194	
1/1/0	3:51:9	1.32	135.00	0.00855	4.13548	
1/1/0	3:52:9	1.98	180.00	0.00858	4.14194	
1/1/0	3:53:9	3.30	67.50	0.00855	4.13548	
1/1/0	3:54:10	2.64	135.00	0.00852	4.12903	
1/1/0	3:55:10	3.30	135.00	0.00855	4.13548	
1/1/0	3:56:10	1.98	180.00	0.00855	4.13548	
1/1/0	3:57:10	1.98	90.00	0.00855	4.13548	
1/1/0	3:58:10	1.98	90.00	0.00855	4.13548	
1/1/0	3:59:10	1.98	135.00	0.00858	4.14194	
1/1/0	4:0:10	1.32	135.00	0.00860	4.14839	
1/1/0	4:1:10	1.32	90.00	0.00858	4.14194	
1/1/0	4:2:11	1.32	225.00	0.00858	4.14194	
1/1/0	4:3:11	1.98	135.00	0.00858	4.14194	
1/1/0	4:4:11	1.32	45.00	0.00858	4.14194	
1/1/0	4:5:11	0.00	90.00	0.00858	4.14194	
1/1/0	4:6:11	0.66	180.00	0.00858	4.14194	
1/1/0	4:7:11	1.98	90.00	0.00858	4.14194	
1/1/0	4:8:11	2.64	90.00	0.00858	4.14194	
1/1/0	4:9:12	1.32	135.00	0.00855	4.13548	
1/1/0	4:10:12	1.98	90.00	0.00858	4.14194	
1/1/0	4:11:12	1.98	135.00	0.00860	4.14839	
1/1/0	4:12:12	1.98	135.00	0.00860	4.14839	
1/1/0	4:13:12	2.64	225.00	0.00860	4.14839	
1/1/0	4:14:12	1.32	135.00	0.00860	4.14839	
1/1/0	4:15:12	1.32	90.00	0.00860	4.14839	
1/1/0	4:16:12	1.32	135.00	0.00860	4.14839	
1/1/0	4:17:13	1.32	135.00	0.00860	4.14839	
1/1/0	4:18:13	1.98	45.00	0.00860	4.14839	
1/1/0	4:19:13	3.30	135.00	0.00860	4.14839	
1/1/0	4:20:13	1.98	180.00	0.00826	4.06452	
1/1/0	4:21:13	2.64	225.00	0.00850	4.12258	
1/1/0	4:22:13	3.30	180.00	0.00852	4.12903	
1/1/0	4:23:13	1.98	180.00	0.00847	4.11613	
1/1/0	4:24:13	3.30	90.00	0.00844	4.10968	
1/1/0	4:25:14	3.96	135.00	0.00847	4.11613	
1/1/0	4:26:14	1.98	225.00	0.00847	4.11613	
1/1/0	4:27:14	1.32	315.00	0.00839	4.09677	
1/1/0	4:28:14	3.30	90.00	0.00839	4.09677	
1/1/0	4:29:14	3.30	135.00	0.00839	4.09677	
1/1/0	4:30:14	3.30	90.00	0.00829	4.07097	
1/1/0	4:31:14	2.64	135.00	0.00847	4.11613	
1/1/0	4:32:15	3.30	112.50	0.00839	4.09677	
1/1/0	4:33:15	2.64	135.00	0.00834	4.08387	
1/1/0	4:34:15	2.64	135.00	0.00837	4.09032	
1/1/0	4:35:15	3.30	180.00	0.00837	4.09032	
1/1/0	4:36:15	2.64	180.00	0.00831	4.07742	
1/1/0	4:37:15	3.96	135.00	0.00810	4.02581	
1/1/0	4:38:15	3.30	45.00	0.00821	4.05161	
1/1/0	4:39:15	1.98	135.00	0.00834	4.08387	
1/1/0	4:40:16	3.96	135.00	0.00837	4.09032	
1/1/0	4:41:16	5.94	90.00	0.00826	4.06452	
1/1/0	4:42:16	3.96	135.00	0.00834	4.08387	
1/1/0	4:43:16	1.98	90.00	0.00821	4.05161	
1/1/0	4:44:16	4.62	180.00	0.00823	4.05806	
1/1/0	4:45:16	3.30	225.00	0.00813	4.03226	
1/1/0	4:46:16	2.64	135.00	0.00813	4.03226	
1/1/0	4:47:17	3.96	180.00	0.00813	4.03226	
1/1/0	4:48:17	3.30	135.00	0.00816	4.03871	
1/1/0	4:49:17	3.96	135.00	0.00818	4.04516	
1/1/0	4:50:17	3.96	90.00	0.00805	4.01290	
1/1/0	4:51:17	4.62	157.50	0.00800	4.00000	
1/1/0	4:52:17	4.62	135.00	0.00800	4.00000	
1/1/0	4:53:17	3.96	135.00	0.00797	3.99355	
1/1/0	4:54:17	3.96	135.00	0.00790	3.97419	
1/1/0	4:55:18	5.28	135.00	0.00813	4.03226	
1/1/0	4:56:18	3.96	135.00	0.00805	4.01290	
1/1/0	4:57:18	3.96	90.00	0.00797	3.99355	
1/1/0	4:58:18	3.96	225.00	0.00797	3.99355	
1/1/0	4:59:18	4.62	135.00	0.00795	3.98710	
1/1/0	5:0:18	1.98	180.00	0.00790	3.97419	
1/1/0	5:1:18	3.96	135.00	0.00785	3.96129	
1/1/0	5:2:19	1.98	135.00	0.00785	3.96129	
1/1/0	5:3:19	1.98	90.00	0.00762	3.90323	
1/1/0	5:4:19	2.64	90.00	0.00777	3.94194	
1/1/0	5:5:19	3.30	180.00	0.00774	3.93548	
1/1/0	5:6:19	3.30	135.00	0.00762	3.90323	
1/1/0	5:7:19	1.98	135.00	0.00769	3.92258	
1/1/0	5:8:19	1.32	45.00	0.00774	3.93548	
1/1/0	5:9:19	1.32	90.00	0.00769	3.92258	
1/1/0	5:10:20	0.66	135.00	0.00769	3.92258	
1/1/0	5:11:20	3.96	180.00	0.00754	3.88387	
1/1/0	5:12:20	3.96	135.00	0.00744	3.85806	
1/1/0	5:13:20	2.64	180.00	0.00717	3.78710	
1/1/0	5:14:20	1.32	90.00	0.00717	3.78710	
1/1/0	5:15:20	1.32	135.00	0.00729	3.81935	
1/1/0	5:16:20	1.32	135.00	0.00712	3.77419	
1/1/0	5:17:21	1.32	135.00	0.00693	3.72258	
1/1/0	5:18:21	1.32	135.00	0.00695	3.72903	
1/1/0	5:19:21	1.98	90.00	0.00676	3.67742	
1/1/0	5:20:21	3.96	135.00	0.00667	3.65161	
1/1/0	5:21:21	3.30	135.00	0.00669	3.65806	
1/1/0	5:22:21	1.98	90.00	0.00690	3.71613	
1/1/0	5:23:21	1.98	90.00	0.00705	3.75484	
1/1/0	5:24:21	1.98	135.00	0.00712	3.77419	
1/1/0	5:25:22	2.64	135.00	0.00705	3.75484	
1/1/0	5:26:22	1.98	90.00	0.00710	3.76774	
1/1/0	5:27:22	2.64	135.00	0.00717	3.78710	
1/1/0	5:28:22	1.98	67.50	0.00729	3.81935	
1/1/0	5:29:22	2.64	112.50	0.00724	3.80645	
1/1/0	5:30:22	3.30	90.00	0.00734	3.83226	
1/1/0	5:31:22	3.30	90.00	0.00742	3.85161	
1/1/0	5:32:23	2.64	135.00	0.00749	3.87097	
1/1/0	5:33:23	0.66	157.50	0.00737	3.83871	
1/1/0	5:34:23	1.98	180.00	0.00742	3.85161	
1/1/0	5:35:23	1.98	157.50	0.00744	3.85806	
1/1/0	5:36:23	2.64	180.00	0.00742	3.85161	
1/1/0	5:37:23	2.64	90.00	0.00705	3.75484	
1/1/0	5:38:23	0.66	202.50	0.00700	3.74194	
1/1/0	5:39:23	3.30	90.00	0.00693	3.72258	
1/1/0	5:40:24	3.30	112.50	0.00323	2.54194	
1/1/0	5:41:24	2.64	135.00	0.00681	3.69032	
1/1/0	5:42:24	1.32	135.00	0.00662	3.63871	
1/1/0	5:43:24	3.30	67.50	0.00671	3.66452	
1/1/0	5:44:24	1.98	90.00	0.00667	3.65161	
1/1/0	5:45:24	2.64	180.00	0.00611	3.49677	
1/1/0	5:46:24	2.64	90.00	0.00657	3.62581	
1/1/0	5:47:24	3.30	135.00	0.00657	3.62581	
1/1/0	5:48:25	2.64	90.00	0.00669	3.65806	
1/1/0	5:49:25	1.32	90.00	0.00664	3.64516	
1/1/0	5:50:25	1.32	180.00	0.00660	3.63226	
1/1/0	5:51:25	1.98	135.00	0.00655	3.61935	
1/1/0	5:52:25	4.62	180.00	0.00653	3.61290	
1/1/0	5:53:25	1.98	90.00	0.00650	3.60645	
1/1/0	5:54:25	1.98	270.00	0.00648	3.60000	
1/1/0	5:55:26	1.98	90.00	0.00643	3.58710	
1/1/0	5:56:26	1.98	90.00	0.00632	3.55484	
1/1/0	5:57:26	0.66	135.00	0.00625	3.53548	
1/1/0	5:58:26	0.00	90.00	0.00598	3.45806	
1/1/0	5:59:26	0.00	180.00	0.00539	3.28387	
1/1/0	6:0:26	0.66	135.00	0.00600	3.46452	
1/1/0	6:1:26	1.98	90.00	0.00589	3.43226	
1/1/0	6:2:26	1.32	112.50	0.00591	3.43871	
1/1/0	6:3:27	1.98	90.00	0.00506	3.18065	
1/1/0	6:4:27	1.98	135.00	0.00552	3.32258	
1/1/0	6:5:27	2.64	180.00	0.00454	3.01290	
1/1/0	6:6:27	1.32	135.00	0.00580	3.40645	
1/1/0	6:7:27	1.98	45.00	0.00576	3.39355	
1/1/0	6:8:27	1.32	90.00	0.00569	3.37419	
1/1/0	6:9:27	0.66	180.00	0.00580	3.40645	
1/1/0	6:10:28	1.32	45.00	0.00587	3.42581	
1/1/0	6:11:28	0.00	90.00	0.00585	3.41935	
1/1/0	6:12:28	1.32	135.00	0.00576	3.39355	
1/1/0	6:13:28	2.64	135.00	0.00578	3.40000	
1/1/0	6:14:28	1.32	180.00	0.00578	3.40000	
1/1/0	6:15:28	2.64	135.00	0.00561	3.34839	
1/1/0	6:16:28	2.64	90.00	0.00548	3.30968	
1/1/0	6:17:28	0.66	180.00	0.00541	3.29032	
1/1/0	6:18:29	1.32	45.00	0.00533	3.26452	
1/1/0	6:19:29	0.66	135.00	0.00527	3.24516	
1/1/0	6:20:29	1.98	135.00	0.00512	3.20000	
1/1/0	6:21:29	1.32	135.00	0.00484	3.10968	
1/1/0	6:22:29	1.32	135.00	0.00452	3.00645	
1/1/0	6:23:29	0.00	45.00	0.00423	2.90968	
1/1/0	6:24:29	0.66	180.00	0.00390	2.79355	
1/1/0	6:25:30	1.98	90.00	0.00358	2.67742	
1/1/0	6:26:30	1.32	90.00	0.00333	2.58065	
1/1/0	6:27:30	0.66	90.00	0.00308	2.48387	
1/1/0	6:28:30	0.66	135.00	0.00286	2.39355	
1/1/0	6:29:30	0.66	135.00	0.00265	2.30323	
1/1/0	6:30:30	0.00	90.00	0.00234	2.16129	
1/1/0	6:31:30	0.66	90.00	0.00204	2.01935	
1/1/0	6:32:30	0.00	135.00	0.00182	1.90968	
1/1/0	6:33:31	0.66	90.00	0.00161	1.79355	
1/1/0	6:34:31	0.00	90.00	0.00143	1.69032	
1/1/0	6:35:31	0.66	90.00	0.00127	1.59355	
1/1/0	6:36:31	0.66	90.00	0.00115	1.51613	
1/1/0	6:37:31	0.66	45.00	0.00103	1.43226	
1/1/0	6:38:31	0.66	90.00	0.00091	1.34839	
1/1/0	6:39:31	0.66	112.50	0.00078	1.24516	
1/1/0	6:40:32	0.66	90.00	0.00063	1.12258	
1/1/0	6:41:32	1.32	135.00	0.00047	0.96774	
1/1/0	6:42:32	0.66	90.00	0.00034	0.82581	
1/1/0	6:43:32	0.66	315.00	0.00025	0.70968	
1/1/0	6:44:32	0.00	45.00	0.00019	0.61935	
1/1/0	6:45:32	0.66	45.00	0.00015	0.54194	
1/1/0	6:46:32	1.32	135.00	0.00011	0.47742	
1/1/0	6:47:32	1.32	90.00	0.00010	0.44516	
1/1/0	6:48:33	1.32	45.00	0.00009	0.41935	
1/1/0	6:49:33	0.66	45.00	0.00007	0.36129	
1/1/0	6:50:33	0.66	90.00	0.00005	0.32903	
1/1/0	6:51:33	0.00	45.00	0.00005	0.32258	
1/1/0	6:52:33	0.00	90.00	0.00006	0.34194	
1/1/0	6:53:33	0.00	90.00	0.00005	0.30968	
1/1/0	6:54:33	0.00	45.00	0.00003	0.24516	
1/1/0	6:55:34	0.00	90.00	0.00002	0.18065	
1/1/0	6:56:34	0.00	45.00	0.00001	0.12903	
1/1/0	6:57:34	0.00	90.00	0.00000	0.09677	
1/1/0	6:58:34	0.66	90.00	0.00000	0.08387	
1/1/0	6:59:34	0.66	90.00	0.00000	0.07097	
1/1/0	7:0:34	0.00	135.00	0.00000	0.05161	
1/1/0	7:1:34	0.66	90.00	0.00000	0.04516	
1/1/0	7:2:34	0.66	180.00	0.00000	0.03226	
1/1/0	7:3:35	0.66	45.00	0.00000	0.03226	
1/1/0	7:4:35	0.00	180.00	0.00000	0.02581	
1/1/0	7:5:35	0.66	90.00	0.00000	0.01935	
1/1/0	7:6:35	0.00	45.00	0.00000	0.01935	
1/1/0	7:7:35	0.00	90.00	0.00000	0.01290	
1/1/0	7:8:35	0.00	90.00	0.00000	0.01290	
1/1/0	7:9:35	0.00	45.00	0.00000	0.01290	
1/1/0	7:10:36	0.00	90.00	0.00000	0.01290	
1/1/0	7:11:36	0.00	45.00	0.00000	0.00645	
1/1/0	7:12:36	0.00	45.00	0.00000	0.00645	
1/1/0	7:13:36	0.00	45.00	0.00000	0.00645	
1/1/0	7:14:36	0.00	45.00	0.00000	0.00645	
1/1/0	7:15:36	0.00	45.00	0.00000	0.00645	
1/1/0	7:16:36	0.00	45.00	0.00000	0.00645	
1/1/0	7:17:36	0.00	45.00	0.00000	0.00645	
1/1/0	7:18:37	0.00	45.00	0.00000	0.01290	
1/1/0	7:19:37	0.00	90.00	0.00000	0.00645	
1/1/0	7:20:37	0.00	45.00	0.00000	0.00645	
1/1/0	7:21:37	0.00	45.00	0.00000	0.00645	
1/1/0	7:22:37	0.00	45.00	0.00000	0.00645	
1/1/0	7:23:37	0.00	45.00	0.00000	0.00645	
1/1/0	7:24:37	0.00	45.00	0.00000	0.00645	
1/1/0	7:25:37	0.00	45.00	0.00000	0.00645	
1/1/0	7:26:38	0.00	90.00	0.00000	0.00645	
1/1/0	7:27:38	0.00	45.00	0.00000	0.00645	
1/1/0	7:28:38	0.00	45.00	0.00000	0.00645	
1/1/0	7:29:38	0.00	45.00	0.00000	0.01290	
1/1/0	7:30:38	0.00	90.00	0.00000	0.00645	
1/1/0	7:31:38	0.00	45.00	0.00000	0.01290	
1/1/0	7:32:38	0.00	45.00	0.00000	0.01290	
1/1/0	7:33:39	0.00	45.00	0.00000	0.00645	
1/1/0	7:34:39	0.00	45.00	0.00000	0.01290	
1/1/0	7:35:39	0.00	45.00	0.00000	0.00645	
1/1/0	7:36:39	0.00	45.00	0.00000	0.01290	
1/1/0	7:37:39	0.00	45.00	0.00000	0.00645	
1/1/0	7:38:39	0.00	45.00	0.00000	0.00645	
1/1/0	7:39:39	0.00	45.00	0.00000	0.00000	
1/1/0	7:40:39	0.00	45.00	0.00000	0.00645	
1/1/0	7:41:40	0.00	45.00	0.00000	0.00645	
1/1/0	7:42:40	0.00	45.00	0.00000	0.00645	
1/1/0	7:43:40	0.00	45.00	0.00000	0.00000	
1/1/0	7:44:40	0.66	135.00	0.00000	0.00645	
1/1/0	7:45:40	0.00	90.00	0.00000	0.00000	
1/1/0	7:46:40	0.66	90.00	0.00000	0.00000	
1/1/0	7:47:40	0.66	45.00	0.00000	0.00000	
